actor_phrase,director_phrase,production_phrase,writer_phrase
magnum force,golden bear,james cameron,supreme court
jungle cruise,student academy award,addams family,percy jackson
guy ritchie,stanley kubrick's,south africa,toy story
matthew mcconaughey,silver bear,twin peaks,south korea
jason statham,neil simon's,relativity media,joseph gordon levitt
javier bardem,andy griffith,grand prix,lauren myracle
spike lee's,natural born killers,fine line,steven spielberg's
katharine hepburn,stephen king,kennedy miller,fox news
adolf hitler,césar award,pet detective,steven spielberg
bette midler,framed roger rabbit,saving mr,ben hecht
marie antoinette,harry met sally,kolkata knight riders,sylvester stallone
hum tum,ben hur,las vegas,ashkenazi jewish
mel gibson,addams family,mark cuban,middle east
mike flaherty,warner bros,resident evil,sixth sense
harold pinter,walt disney productions,walden media,indiana jones
arizona dream,art thou,citizen kane,neil simon
weekend update,afi life achievement award,black messiah,silver bear
friendly persuasion,spider man,hbo max,columbia university
stanley kubrick,venice international film festival,eros international,uncle buck
ian charleson,steven spielberg's,runaway train,spider man
jamie foxx,american graffiti,golden globe,lisa marie
biloxi blues,kennedy center honor,tom brady,count dracula
orson welles,american horror story,kate winslet,labour party
herbert ross,european film awards,snow white,united kingdom
panic room,wet hot american summer,lakeshore records,young frankenstein
cactus flower,dirty harry,bruce willis,penélope cruz
kenneth lonergan's,south korean,river road,emmy awards
steve buscemi,george clooney,inside edge,william shakespeare
lauren bacall,paramount pictures,primetime emmy award,paramount pictures
uncle vanya,south african,andy warhol,hans christian andersen
raising helen,walt disney,gulshan kumar,jack ryan
steven soderbergh,saturn award,lemmy caution,michael keaton
charlize theron,cinderella man,bandai namco,justice league
ridley scott's prometheus,ingrid bergman,jordan peele,blue jasmine
multi facial,martin scorsese,american pie,dreamworks animation
double jeopardy,van sant,black phone,jack kirby
abraham lincoln,million dollar baby,knight riders,laurence olivier
abel ferrara,national film registry,robin hood,united states navy
minority report,golden globe,shutter island,beverly hills
soul surfer,fifty shades,screen actors guild award,epps jr
tim burton's,universal pictures,longest yard,jackie chan
batman forever,midnight express,regency enterprises,logan county
ashton kutcher,los angeles,marcus antonius,great train robbery
source code,robert redford,mel gibson,united artists
grand prix,venice film festival,southern wild,golden globes
total dhamaal,grand jury prize,tribeca film festival,universal pictures
sorority rising,cannes film festival,akira kurosawa,columbia pictures
random hearts,academy awards,rko pictures,saturn awards
ian mckellen,independent spirit award,wall street,saving private ryan
killer elite,gran torino,cloud atlas,maze runner
ricky gervais,thalberg memorial award,dark castle,huffington post
central park,jean pierre,strange wilderness,fipresci prize
darkest hour,golden globes,finding nemo,iron man
kingdom hearts,tim burton,bucky larson,bruce jay friedman
criminal justice,national film awards,donald duck,edmund fitzgerald
mel brooks,orion pictures,ace ventura,amazon prime
gus van,york university,lawrence gordon,filmfare awards
angelina jolie,american masters,hot chick,luc paul maurice besson
individual achievement,dc comics,em high,east asian
rob roy,van damme,charlie chaplin,harvard university
julie newmar,fellowship award,minnie mouse,robert altman
victor frankenstein,taxi driver,square enix,roger corman
laurence fishburne,ridley scott,di bonaventura,jurassic park
universal soldier,air force,daisy duck,woody allen
double impact,demille award,robert simonds,roman polanski
power rangers,grammy award,lifetime achievement,sundance film festival
downey sr,outstanding drama series,news corporation,blade runner
mulholland falls,filmfare awards,lego movie,annie fanny
ghost protocol,tony award,ted hope,cafe society
animal factory,jean luc,masaki kobayashi,sierra leone
